customer_id,customer_name,segment,age_band,province,risk_band,created_date,snapshot_date,is_active
CUST00000132,Bikash Yadav,RETAIL,18-24,Koshi,LOW,2018-06-27,2026-01-01,true
CUST00000133,Rita Maharjan,SME,45-54,Sudurpashchim,LOW,2020-10-13,2026-01-01,true
CUST00000134,Bikash Rai,STUDENT,55+,Karnali,LOW,2018-07-07,2026-01-01,true
CUST00000135,Puja Yadav,PREMIUM,25-34,Gandaki,LOW,2018-04-28,2026-01-01,true
CUST00000136,Asmita Yadav,SME,45-54,Gandaki,MEDIUM,2023-10-26,2026-01-01,false
CUST00000137,Subash Tamang,SENIOR,45-54,Madhesh,MEDIUM,2019-05-19,2026-01-01,false
CUST00000138,Puja Rai,SME,18-24,Sudurpashchim,LOW,2017-10-15,2026-01-01,false
CUST00000139,Rita Rai,SENIOR,18-24,Madhesh,LOW,2025-03-05,2026-01-01,true
CUST00000140,Puja Gurung,SENIOR,35-44,Karnali,HIGH,2022-06-26,2026-01-01,true
CUST00000141,Asmita Gurung,SENIOR,25-34,Gandaki,LOW,2021-01-28,2026-01-01,true
CUST00000142,Puja Rai,SENIOR,45-54,Bagmati,HIGH,2024-01-04,2026-01-01,true
CUST00000143,Maya Tamang,RETAIL,25-34,Koshi,MEDIUM,2022-01-16,2026-01-01,false
CUST00000144,Subash Bista,RETAIL,45-54,Lumbini,HIGH,2018-06-29,2026-01-01,true
CUST00000145,Anika Shrestha,RETAIL,35-44,Madhesh,MEDIUM,2023-10-04,2026-01-01,true
CUST00000146,Anika Yadav,PREMIUM,45-54,Gandaki,HIGH,2020-03-08,2026-01-01,true
CUST00000147,Kiran Bista,RETAIL,25-34,Lumbini,LOW,2022-10-20,2026-01-01,true
CUST00000148,Asmita Shrestha,PREMIUM,18-24,Koshi,MEDIUM,2020-09-05,2026-01-01,true
CUST00000149,Suman Poudel,PREMIUM,25-34,Sudurpashchim,LOW,2024-06-29,2026-01-01,true
CUST00000150,Ramesh Thapa,SENIOR,55+,Madhesh,LOW,2022-06-10,2026-01-01,true
CUST00000151,Maya Tamang,PREMIUM,35-44,Bagmati,HIGH,2023-04-27,2026-01-01,true
CUST00000152,Nisha Thapa,RETAIL,35-44,Sudurpashchim,MEDIUM,2017-12-19,2026-01-01,true
CUST00000153,Puja Thapa,SENIOR,25-34,Lumbini,MEDIUM,2017-10-29,2026-01-01,true
CUST00000154,Asmita Gurung,STUDENT,55+,Gandaki,LOW,2023-12-16,2026-01-01,true
CUST00000155,Nisha Thapa,STUDENT,45-54,Bagmati,LOW,2022-10-02,2026-01-01,true
CUST00000156,Subash Poudel,SENIOR,18-24,Karnali,MEDIUM,2020-10-01,2026-01-01,true
CUST00000157,Bikash Karki,SENIOR,18-24,Bagmati,LOW,2025-10-25,2026-01-01,true
CUST00000158,Asmita Maharjan,PREMIUM,18-24,Gandaki,HIGH,2019-09-21,2026-01-01,false
CUST00000159,Nisha Yadav,PREMIUM,35-44,Bagmati,HIGH,2023-06-30,2026-01-01,false
CUST00000160,Maya Yadav,PREMIUM,18-24,Karnali,LOW,2022-04-15,2026-01-01,false
CUST00000161,Kiran Yadav,STUDENT,55+,Sudurpashchim,HIGH,2025-11-21,2026-01-01,true
CUST00000162,Nisha Karki,PREMIUM,45-54,Karnali,MEDIUM,2017-11-30,2026-01-01,true
CUST00000163,Suman Thapa,STUDENT,45-54,Sudurpashchim,LOW,2020-02-02,2026-01-01,true
CUST00000164,Aarav Poudel,RETAIL,55+,Karnali,HIGH,2025-10-19,2026-01-01,true
CUST00000165,Bikash Maharjan,STUDENT,45-54,Madhesh,LOW,2020-06-06,2026-01-01,true
CUST00000166,Asmita Thapa,PREMIUM,35-44,Gandaki,LOW,2019-11-19,2026-01-01,true
CUST00000167,Nisha Bista,RETAIL,55+,Bagmati,LOW,2024-09-30,2026-01-01,true
CUST00000168,Nisha Gurung,PREMIUM,55+,Sudurpashchim,HIGH,2024-01-20,2026-01-01,true
CUST00000169,Bikash Karki,RETAIL,18-24,Gandaki,LOW,2019-11-22,2026-01-01,true
CUST00000170,Subash Shrestha,SME,18-24,Madhesh,HIGH,2024-04-18,2026-01-01,true
CUST00000171,Aarav Poudel,SENIOR,25-34,Sudurpashchim,LOW,2019-06-24,2026-01-01,true
CUST00000172,Maya Gurung,RETAIL,55+,Gandaki,LOW,2018-04-17,2026-01-01,true
CUST00000173,Asmita Karki,SENIOR,18-24,Koshi,LOW,2018-06-14,2026-01-01,true
CUST00000174,Asmita Shrestha,PREMIUM,25-34,Bagmati,LOW,2022-08-24,2026-01-01,true
CUST00000175,Suman Yadav,PREMIUM,25-34,Koshi,MEDIUM,2020-10-28,2026-01-01,false
CUST00000176,Kiran Poudel,PREMIUM,35-44,Lumbini,HIGH,2025-09-20,2026-01-01,false
CUST00000177,Anika Tamang,SENIOR,55+,Madhesh,MEDIUM,2019-05-04,2026-01-01,true
CUST00000178,Kiran Shrestha,PREMIUM,35-44,Sudurpashchim,HIGH,2020-04-17,2026-01-01,true
CUST00000179,Asmita Bista,SENIOR,18-24,Koshi,LOW,2018-09-26,2026-01-01,true
CUST00000180,Ramesh Yadav,RETAIL,25-34,Lumbini,MEDIUM,2020-06-30,2026-01-01,true
CUST00000181,Subash Yadav,SME,18-24,Madhesh,HIGH,2024-01-22,2026-01-01,true
CUST00000182,Bikash Thapa,PREMIUM,25-34,Bagmati,MEDIUM,2021-09-10,2026-01-01,true
CUST00000183,Asmita Shrestha,RETAIL,35-44,Bagmati,MEDIUM,2023-09-23,2026-01-01,true
CUST00000184,Suman Yadav,STUDENT,45-54,Koshi,MEDIUM,2018-09-28,2026-01-01,true
CUST00000185,Bikash Rai,PREMIUM,35-44,Lumbini,LOW,2023-11-21,2026-01-01,true
CUST00000186,Nisha Yadav,RETAIL,25-34,Gandaki,MEDIUM,2018-10-03,2026-01-01,true
CUST00000187,Bikash Karki,PREMIUM,45-54,Koshi,LOW,2020-07-28,2026-01-01,true
CUST00000188,Kiran Bista,RETAIL,55+,Madhesh,LOW,2021-11-04,2026-01-01,true
CUST00000189,Suman Shrestha,SME,45-54,Karnali,HIGH,2024-10-28,2026-01-01,true
CUST00000190,Anika Karki,SENIOR,18-24,Koshi,HIGH,2018-06-11,2026-01-01,true
CUST00000191,Nisha Yadav,SENIOR,35-44,Bagmati,HIGH,2020-03-20,2026-01-01,true
CUST00000192,Subash Yadav,SME,35-44,Madhesh,LOW,2024-03-11,2026-01-01,false
CUST00000193,Nisha Karki,STUDENT,45-54,Koshi,LOW,2017-11-29,2026-01-01,true
CUST00000194,Anika Poudel,SENIOR,35-44,Karnali,MEDIUM,2023-05-16,2026-01-01,true
CUST00000195,Suman Tamang,RETAIL,18-24,Sudurpashchim,LOW,2019-05-12,2026-01-01,true
CUST00000196,Nisha Bista,SME,25-34,Gandaki,MEDIUM,2018-06-24,2026-01-01,true
CUST00000197,Aarav Tamang,PREMIUM,45-54,Sudurpashchim,MEDIUM,2020-09-12,2026-01-01,true
CUST00000198,Ramesh Karki,SME,18-24,Koshi,LOW,2024-02-11,2026-01-01,true
CUST00000199,Maya Poudel,RETAIL,25-34,Koshi,LOW,2020-10-15,2026-01-01,true
CUST00000200,Anika Poudel,STUDENT,45-54,Lumbini,LOW,2019-02-10,2026-01-01,false
CUST00000201,Bikash Karki,STUDENT,45-54,Karnali,HIGH,2023-09-06,2026-01-01,true
CUST00000202,Anika Gurung,PREMIUM,18-24,Sudurpashchim,LOW,2021-09-26,2026-01-01,false
CUST00000203,Rita Gurung,PREMIUM,45-54,Sudurpashchim,HIGH,2018-12-04,2026-01-01,true
CUST00000204,Rita Poudel,RETAIL,45-54,Karnali,HIGH,2022-11-04,2026-01-01,true
CUST00000205,Suman Gurung,STUDENT,45-54,Bagmati,LOW,2025-10-24,2026-01-01,true
CUST00000206,Maya Gurung,PREMIUM,18-24,Gandaki,MEDIUM,2021-02-10,2026-01-01,false
CUST00000207,Suman Yadav,PREMIUM,25-34,Sudurpashchim,MEDIUM,2018-08-20,2026-01-01,true
CUST00000208,Anika Poudel,STUDENT,35-44,Karnali,MEDIUM,2022-12-13,2026-01-01,true
CUST00000209,Maya Bista,SME,45-54,Sudurpashchim,LOW,2023-11-16,2026-01-01,false
CUST00000210,Ramesh Gurung,STUDENT,35-44,Bagmati,LOW,2024-01-16,2026-01-01,false
CUST00000211,Maya Rai,RETAIL,25-34,Bagmati,MEDIUM,2024-09-10,2026-01-01,true
CUST00000212,Subash Karki,SME,35-44,Koshi,LOW,2019-09-17,2026-01-01,false
CUST00000213,Maya Rai,STUDENT,35-44,Karnali,LOW,2025-07-27,2026-01-01,true
CUST00000214,Asmita Poudel,STUDENT,18-24,Bagmati,LOW,2025-04-24,2026-01-01,true
CUST00000215,Nisha Shrestha,SME,35-44,Koshi,MEDIUM,2022-11-11,2026-01-01,true
CUST00000216,Puja Gurung,STUDENT,45-54,Madhesh,LOW,2024-06-08,2026-01-01,true
CUST00000217,Ramesh Shrestha,SENIOR,35-44,Sudurpashchim,LOW,2023-04-07,2026-01-01,true
CUST00000218,Bikash Poudel,STUDENT,25-34,Koshi,LOW,2022-08-09,2026-01-01,true
CUST00000219,Asmita Rai,PREMIUM,25-34,Karnali,LOW,2022-10-02,2026-01-01,true
CUST00000220,Nisha Maharjan,RETAIL,45-54,Bagmati,LOW,2023-12-13,2026-01-01,false
CUST00000221,Kiran Gurung,SENIOR,55+,Madhesh,HIGH,2024-04-03,2026-01-01,false
CUST00000222,Kiran Rai,SME,25-34,Sudurpashchim,LOW,2022-04-07,2026-01-01,false
CUST00000223,Anika Yadav,SME,55+,Gandaki,LOW,2023-01-21,2026-01-01,true
CUST00000224,Aarav Tamang,RETAIL,45-54,Lumbini,LOW,2021-12-14,2026-01-01,true
CUST00000225,Suman Poudel,STUDENT,45-54,Madhesh,MEDIUM,2018-05-13,2026-01-01,true
CUST00000226,Ramesh Maharjan,STUDENT,25-34,Karnali,HIGH,2023-11-27,2026-01-01,true
CUST00000227,Subash Rai,STUDENT,18-24,Karnali,HIGH,2024-08-15,2026-01-01,true
CUST00000228,Kiran Thapa,SME,18-24,Gandaki,LOW,2020-06-26,2026-01-01,false
CUST00000229,Subash Bista,SME,25-34,Gandaki,HIGH,2021-12-23,2026-01-01,false
CUST00000230,Aarav Karki,SENIOR,45-54,Sudurpashchim,HIGH,2021-11-04,2026-01-01,false
CUST00000231,Maya Bista,SME,25-34,Karnali,LOW,2023-06-09,2026-01-01,false
CUST00000232,Bikash Poudel,SME,55+,Bagmati,LOW,2024-09-15,2026-01-01,false
CUST00000233,Anika Tamang,RETAIL,45-54,Madhesh,MEDIUM,2023-07-20,2026-01-01,false
CUST00000234,Subash Gurung,PREMIUM,35-44,Gandaki,HIGH,2020-07-24,2026-01-01,true
CUST00000235,Rita Gurung,RETAIL,25-34,Bagmati,HIGH,2025-07-18,2026-01-01,false
CUST00000236,Asmita Thapa,STUDENT,18-24,Lumbini,MEDIUM,2023-12-01,2026-01-01,true
CUST00000237,Ramesh Poudel,SME,18-24,Lumbini,HIGH,2021-01-03,2026-01-01,true
CUST00000238,Rita Gurung,RETAIL,55+,Bagmati,MEDIUM,2018-12-04,2026-01-01,true
CUST00000239,Puja Shrestha,PREMIUM,35-44,Lumbini,LOW,2022-08-12,2026-01-01,true
CUST00000240,Suman Tamang,RETAIL,18-24,Lumbini,HIGH,2017-11-08,2026-01-01,true
CUST00000241,Bikash Poudel,RETAIL,55+,Bagmati,MEDIUM,2021-06-30,2026-01-01,true
CUST00000242,Puja Poudel,RETAIL,25-34,Karnali,LOW,2020-05-20,2026-01-01,true
CUST00000243,Maya Thapa,PREMIUM,45-54,Madhesh,LOW,2022-10-24,2026-01-01,false
CUST00000244,Maya Yadav,SENIOR,45-54,Gandaki,MEDIUM,2025-08-05,2026-01-01,true
CUST00000245,Ramesh Yadav,SME,35-44,Sudurpashchim,LOW,2025-06-15,2026-01-01,false
CUST00000246,Rita Yadav,PREMIUM,45-54,Bagmati,HIGH,2020-07-25,2026-01-01,true
CUST00000247,Subash Yadav,PREMIUM,35-44,Karnali,LOW,2017-11-29,2026-01-01,true
CUST00000248,Aarav Yadav,SME,18-24,Sudurpashchim,MEDIUM,2025-07-24,2026-01-01,true
CUST00000249,Aarav Poudel,RETAIL,35-44,Sudurpashchim,MEDIUM,2025-10-13,2026-01-01,false
CUST00000250,Subash Maharjan,STUDENT,55+,Bagmati,LOW,2020-09-03,2026-01-01,true
CUST00000251,Anika Thapa,SME,35-44,Lumbini,HIGH,2018-12-16,2026-01-01,true
CUST00000252,Kiran Karki,STUDENT,35-44,Gandaki,LOW,2017-10-22,2026-01-01,false
CUST00000253,Bikash Tamang,PREMIUM,55+,Koshi,HIGH,2019-12-14,2026-01-01,true
CUST00000254,Bikash Gurung,SME,18-24,Lumbini,MEDIUM,2024-08-02,2026-01-01,true
CUST00000255,Subash Bista,SME,55+,Karnali,MEDIUM,2019-03-02,2026-01-01,false
CUST00000256,Subash Bista,PREMIUM,35-44,Bagmati,LOW,2021-10-21,2026-01-01,false
CUST00000257,Kiran Yadav,PREMIUM,55+,Koshi,HIGH,2024-04-16,2026-01-01,true
CUST00000258,Aarav Bista,SME,18-24,Madhesh,LOW,2018-06-08,2026-01-01,true
CUST00000259,Anika Shrestha,STUDENT,45-54,Koshi,HIGH,2023-11-02,2026-01-01,true
CUST00000260,Maya Shrestha,RETAIL,55+,Lumbini,HIGH,2024-06-16,2026-01-01,true
CUST00000261,Nisha Yadav,STUDENT,35-44,Bagmati,MEDIUM,2022-05-22,2026-01-01,true
CUST00000262,Subash Thapa,SME,18-24,Koshi,LOW,2023-04-12,2026-01-01,true
CUST00000263,Nisha Rai,RETAIL,55+,Sudurpashchim,HIGH,2022-02-04,2026-01-01,true
CUST00000264,Subash Tamang,SENIOR,18-24,Bagmati,MEDIUM,2020-07-23,2026-01-01,true
CUST00000265,Asmita Rai,SME,25-34,Sudurpashchim,LOW,2024-05-22,2026-01-01,true
CUST00000266,Kiran Gurung,PREMIUM,18-24,Madhesh,MEDIUM,2025-09-03,2026-01-01,true
